reward,epsilon,steps,avg_delay,avg_queue,throughput,arrived_vehicles,departed_vehicles,num_vehicles,emergency_stops,teleport_started,teleport_ended,recovery_active,local_safety_active_tls,local_safety_overrides,episode_mean_avg_delay,episode_max_avg_delay,episode_mean_avg_queue,episode_max_avg_queue,episode_mean_num_vehicles,episode_max_num_vehicles,episode_recovery_steps,episode_local_safety_steps,episode_local_safety_overrides,episode_peak_top_tl,episode_peak_top_tl_queue,episode_peak_top_tl_waiting,episode_peak_top_tl_phase,episode_peak_top_tl_phase_duration,episode_peak_top_tl_action,episode_peak_top_lane,episode_peak_top_lane_queue,episode_peak_top_lane_waiting,loss_rl,episode,timestamp,eval_reward,eval_reward_std,eval_avg_delay,eval_avg_queue,eval_throughput,eval_emergency_stops,eval_teleport_started,eval_teleport_ended,eval_episode_mean_delay,eval_episode_max_delay,eval_episode_mean_queue,eval_episode_max_queue
-6.866805555555562,0.784,719,0.5357142857142857,0.1111111111111111,3514,3514,3598,84,0,0,0,0.0,0,0,1.2047860622406006,5.064516067504883,0.21113429963588715,0.5833333134651184,91.46731567382812,109.0,0,0,0,C1,15.0,285.0,1,43,1,C0C1_1,6.0,110.0,3.340969415536919e-05,1,2026-05-23T15:50:06.360393,,,,,,,,,,,,
-6.65715277777778,0.76832,719,0.7634408602150538,0.1388888888888889,3506,3506,3599,93,0,0,0,0.0,0,0,1.1547235250473022,5.449438095092773,0.2057255357503891,0.4861111044883728,91.01112365722656,105.0,0,0,0,B2,14.0,263.0,0,33,0,A2B2_0,7.0,143.0,2.52962147900846e-05,2,2026-05-23T15:51:31.747860,,,,,,,,,,,,
-6.457592592592595,0.7529536,719,1.2934782608695652,0.2638888888888889,3507,3507,3599,92,0,0,0,0.0,0,0,1.0914496183395386,5.151515007019043,0.2014758139848709,0.5416666865348816,90.59805297851562,108.0,0,0,0,A1,15.0,256.0,1,33,1,A2A1_0,5.0,64.0,2.5701579541163533e-05,3,2026-05-23T15:52:56.691161,,,,,,,,,,,,
-6.205439814814818,0.737894528,719,0.5164835164835165,0.1388888888888889,3509,3509,3600,91,0,0,0,0.0,0,0,1.037202000617981,3.6741573810577393,0.19533301889896393,0.4722222089767456,90.33240509033203,104.0,0,0,0,B1,14.0,195.0,1,28,1,B0B1_1,4.0,55.0,2.29327502508741e-05,4,2026-05-23T15:54:20.604467,,,,,,,,,,,,
-6.314259259259252,0.72313663744,719,0.9213483146067416,0.19444444444444445,3511,3511,3600,89,0,0,0,0.0,0,0,1.0633991956710815,3.6588234901428223,0.19824987649917603,0.4444444477558136,90.28094482421875,106.0,0,0,0,B1,13.0,176.0,0,23,0,A1B1_1,4.0,68.0,2.621720419946578e-05,5,2026-05-23T15:57:03.277190,-4.267824074074077,0.0,0.5662650602409639,0.1527777777777778,3516.0,0.0,0.0,0.0,0.5914650559425354,1.5783132314682007,0.14420105516910553,0.3055555522441864
-6.1826388888888975,0.7086739046912,719,1.358695652173913,0.25,3507,3507,3599,92,0,0,0,0.0,0,0,1.039504885673523,5.803921699523926,0.19409674406051636,0.5833333134651184,90.09318542480469,105.0,0,0,0,C1,15.0,332.0,1,43,1,C0C1_1,5.0,122.0,2.781070980443104e-05,6,2026-05-23T15:58:28.091979,,,,,,,,,,,,
-6.047106481481477,0.694500426597376,719,1.1235955056179776,0.25,3511,3511,3600,89,0,0,0,0.0,0,0,1.002171277999878,3.978947401046753,0.19092874228954315,0.4861111044883728,89.70236206054688,106.0,0,0,0,B0,15.0,238.0,0,23,0,A0B0_1,5.0,86.0,2.9637933704699777e-05,7,2026-05-23T15:59:51.952955,,,,,,,,,,,,
-5.698842592592598,0.6806104180654284,719,0.3888888888888889,0.1527777777777778,3510,3510,3600,90,0,0,0,0.0,0,0,0.9272567629814148,3.6736841201782227,0.18152140080928802,0.4166666567325592,88.62865447998047,103.0,0,0,0,C1,13.0,159.0,1,28,1,C0C1_1,5.0,84.0,3.308871055196505e-05,8,2026-05-23T16:01:16.169054,,,,,,,,,,,,
-6.184027777777776,0.6669982097041198,719,1.4945054945054945,0.2361111111111111,3508,3508,3599,91,0,0,0,0.0,0,0,1.0335725545883179,4.430232524871826,0.19465692341327667,0.5,89.72183227539062,113.0,0,0,0,B1,12.0,167.0,0,33,0,A1B1_1,5.0,47.0,3.503550505531535e-05,9,2026-05-23T16:02:39.958776,,,,,,,,,,,,
-5.7610416666666655,0.6536582455100374,719,0.34782608695652173,0.09722222222222222,3508,3508,3600,92,0,0,0,0.0,0,0,0.9458455443382263,3.505154609680176,0.18335652351379395,0.4861111044883728,88.97914123535156,105.0,0,0,0,C1,12.0,180.0,1,33,1,C2C1_0,6.0,114.0,3.63767378736164e-05,10,2026-05-23T16:05:41.732266,-305.7934259259259,0.0,6.825136612021858,2.111111111111111,3214.0,0.0,8.0,7.0,50.1234130859375,319.3304443359375,1.3690118789672852,5.5
